path,guid,size_bytes,category,confidence,note
Assets/StreamingAssets/Videos/ValueCourier3.mp4,cc94c0083cf01447d826e055dd43d10a,185134986,protected,excluded,StreamingAssets/Resources (loaded by path)
Assets/StreamingAssets/Videos/VC_Online_Intro_Vid.mp4,8aa0360e48d4e4b4ab304cd8d4485d4a,110194628,protected,excluded,StreamingAssets/Resources (loaded by path)
Assets/Video/VC_Online_Intro_Vid.mov,69edf70661ec64c21845620c8ad8acc0,110152085,orphan,high,not referenced by any scene
Assets/Town Constructor 3/Scenes/DemoSceneLightSetting3.unity,09f25dfdfde37364388a302888402d81,28008786,thirdparty_orphan,high,third-party pack file; deleting partial packs may break the pack
Assets/Scenes/RouteSimulation.unity,c2c48f6d5b7f7406f93d27de13372820,22700791,review_nonbuild_scene,review,used only by a non-build scene (MainGame/RouteSimulation/controller)
Assets/Residential Buildings Pack/Source/Textures/Terrain/Grass_Albedo.tif,e81bd88777c51f54ab348cbafe13c4e5,14234256,thirdparty_orphan,high,third-party pack file; deleting partial packs may break the pack
Assets/Residential Buildings Pack/Demo/Demo/Lightmap-0_comp_light.exr,f8422d971a4e0364eaa34c321b21e6de,13627519,thirdparty_orphan,high,third-party pack file; deleting partial packs may break the pack
Assets/Residential Buildings Pack/Source/Textures/Road_normal.png,98229d9288e54524e9e8e5916d703646,11285255,thirdparty_orphan,high,third-party pack file; deleting partial packs may break the pack
Assets/Residential Buildings Pack/Source/Textures/FX/T_TarmacCracks_N.png,a0060ce19feece14e8ceb32d71a6b991,11278057,thirdparty_orphan,high,third-party pack file; deleting partial packs may break the pack
Assets/Residential Buildings Pack/Demo/Demo/Lightmap-1_comp_light.exr,3177fafa4b8eb0b48afdc7d8274b0c92,10148957,thirdparty_orphan,high,third-party pack file; deleting partial packs may break the pack
Assets/Residential Buildings Pack/Demo/Demo_Night/Lightmap-2_comp_light.exr,bfebdd42230834a4591236426d41621c,9792196,thirdparty_orphan,high,third-party pack file; deleting partial packs may break the pack
Assets/Residential Buildings Pack/Demo/Demo_Night/Lightmap-1_comp_light.exr,9cad54f619756844596ab8ae06064fa4,9766426,thirdparty_orphan,high,third-party pack file; deleting partial packs may break the pack
Assets/Residential Buildings Pack/Demo/Demo_Night/Lightmap-4_comp_light.exr,04ecc8d2ea5415f4d9c1387f227fa506,9561633,thirdparty_orphan,high,third-party pack file; deleting partial packs may break the pack
Assets/Residential Buildings Pack/Source/Textures/Terrain/Grass_NRM.png,dc73acb946d0a684bb2f727a45717160,9559044,thirdparty_orphan,high,third-party pack file; deleting partial packs may break the pack
Assets/Residential Buildings Pack/Demo/Demo_Night/Lightmap-3_comp_light.exr,057979daae6c3a24caf11d707539eaa7,9481440,thirdparty_orphan,high,third-party pack file; deleting partial packs may break the pack
Assets/Residential Buildings Pack/Demo/Demo_Night/Lightmap-5_comp_light.exr,61e29b9612cdb8f42a51634d22f157d4,9019397,thirdparty_orphan,high,third-party pack file; deleting partial packs may break the pack
Assets/Residential Buildings Pack/Demo/Demo_Night/Lightmap-6_comp_light.exr,bce0d64467ac9114197013f0a7d48d6a,8662844,thirdparty_orphan,high,third-party pack file; deleting partial packs may break the pack
Assets/Residential Buildings Pack/Demo/Demo_Night/Lightmap-0_comp_light.exr,1d10c58c95bda4543bf98002fc1e79ae,8451820,thirdparty_orphan,high,third-party pack file; deleting partial packs may break the pack
Assets/Residential Buildings Pack/Source/Textures/Road_albedo.png,5f24049a78c76274c9da5249e8d4432b,7902393,thirdparty_orphan,high,third-party pack file; deleting partial packs may break the pack
Assets/Residential Buildings Pack/Source/Textures/Road_metallic.png,4b871dbbacc5cfe40a669084a757e7bf,6450604,thirdparty_orphan,high,third-party pack file; deleting partial packs may break the pack
Assets/Residential Buildings Pack/Demo/Demo_Night/Lightmap-7_comp_light.exr,2dc489d634b74d743adb7b792ca5e083,6402102,thirdparty_orphan,high,third-party pack file; deleting partial packs may break the pack
Assets/KrisDevelopment/EasyRoadsMeshGen_CS/Example/ExampleResources/ERMG_Rails_ExampleResources/TC_PlainRust1B_1024_albedo.tif,5d904886986fc104d8ba49c8bfe83d5d,6291772,thirdparty_orphan,high,third-party pack file; deleting partial packs may break the pack
Assets/KrisDevelopment/EasyRoadsMeshGen_CS/Example/ExampleResources/ERMG_Rails_ExampleResources/TC_PlainRust1B_1024_normal.tif,785b517dac4f012469b5b60497a5a577,6291772,thirdparty_orphan,high,third-party pack file; deleting partial packs may break the pack
Assets/ModularProceduralBuildings/Textures/building2-base_normal.png,05b7f0670887b25e4a157d67c3cd1e03,5230158,thirdparty_orphan,high,third-party pack file; deleting partial packs may break the pack
Assets/ModularProceduralBuildings/Textures/base1-extras_roughness.png,92959e107cbdb657cba0742f0b88aad0,5201503,thirdparty_orphan,high,third-party pack file; deleting partial packs may break the pack
Assets/ModularProceduralBuildings/Textures/building2-top_normal.png,3e0ae601d73f67e238207d09a847ef5e,4778822,thirdparty_orphan,high,third-party pack file; deleting partial packs may break the pack
Assets/ModularProceduralBuildings/Textures/water-tank1_normal.png,91d2c6776f0548e50b13e95f1b569894,4752709,thirdparty_orphan,high,third-party pack file; deleting partial packs may break the pack
Assets/Residential Buildings Pack/Demo/Demo/Lightmap-0_comp_dir.png,901d063770714ba4c9df59cef573b31c,4503297,thirdparty_orphan,high,third-party pack file; deleting partial packs may break the pack
Assets/ModularProceduralBuildings/Textures/building6-structure_roughness.png,8c3c695398116e951835229f6b54b31b,4304346,thirdparty_orphan,high,third-party pack file; deleting partial packs may break the pack
Assets/KrisDevelopment/EasyRoadsMeshGen_CS/Scripts/Extensions/ArrayExampleResources/road_guard_rails/road_ramp_base.png,6519ca8f1087f1e42b99c79617210f66,4233587,thirdparty_orphan,high,third-party pack file; deleting partial packs may break the pack
Assets/Residential Buildings Pack/Demo/Demo_Night/Lightmap-8_comp_light.exr,22431cafa1a0d8d4cb5a4669dde5e885,4193441,thirdparty_orphan,high,third-party pack file; deleting partial packs may break the pack
Assets/Routes/tsp_path_25_15_all.txt,c2efb62995aa94502ad89e6171eb5290,3909709,orphan,high,not referenced by any scene
Assets/ModularProceduralBuildings/Textures/water-tank1_color.png,5242735adade11fb3aa5a6439d2b2994,3802374,thirdparty_orphan,high,third-party pack file; deleting partial packs may break the pack
Assets/ModularProceduralBuildings/Textures/building2-base_color.png,a67b3eb2660b91de8943e23dba608794,3792666,thirdparty_orphan,high,third-party pack file; deleting partial packs may break the pack
Assets/ModularProceduralBuildings/Textures/building2-top_color.png,0dfe873d6dd1b0e929c7a6db90e8241d,3598283,thirdparty_orphan,high,third-party pack file; deleting partial packs may break the pack
Assets/ModularProceduralBuildings/Textures/building8_roughness.png,c0030f073f8d5dbbb92633b43371f231,3524845,thirdparty_orphan,high,third-party pack file; deleting partial packs may break the pack
